seed,arm,step,L_total,L_struct,L_LM,p_max_mean,dt_step,dt_struct,dt_lm,dt_grad_total
230,simplex,14,8.5493,8.6277,-0.0783,0.7776,152.95,20.12,15.66,80.52
230,simplex,15,8.5085,8.587,-0.0785,0.7767,151.84,20.22,15.85,80.14
230,simplex,16,8.4666,8.5452,-0.0787,0.7758,152.29,20.43,15.83,79.97
230,simplex,17,8.4297,8.5086,-0.0789,0.7749,153.83,20.49,16.21,80.91
230,simplex,18,8.397,8.4761,-0.0791,0.7739,153.0,20.64,15.84,80.28
230,simplex,19,8.3664,8.4457,-0.0793,0.7729,152.08,20.28,15.81,80.1
230,simplex,20,8.3366,8.4161,-0.0795,0.7718,167.0,20.33,15.7,80.36
230,simplex,21,8.3067,8.3865,-0.0797,0.7707,154.09,20.43,15.71,81.22
230,simplex,22,8.28,8.36,-0.08,0.7696,152.43,20.41,15.97,80.03
230,simplex,23,8.2522,8.3325,-0.0802,0.7685,151.39,20.1,15.33,80.29
230,simplex,24,8.2221,8.3025,-0.0805,0.7674,151.95,20.21,15.77,80.3
230,simplex,25,8.1911,8.2718,-0.0807,0.7663,153.1,20.22,15.86,80.73
230,simplex,26,8.1573,8.2382,-0.0809,0.7652,152.34,20.2,15.73,80.3
230,simplex,27,8.1179,8.199,-0.0811,0.7641,153.04,20.42,16.03,80.64
230,simplex,28,8.0815,8.1629,-0.0813,0.763,153.89,20.4,16.07,80.71
230,simplex,29,8.0538,8.1354,-0.0816,0.7618,152.22,20.18,15.56,80.57
230,simplex,30,8.0286,8.1105,-0.0819,0.7605,167.77,20.61,15.34,80.5
230,simplex,31,8.0046,8.0868,-0.0822,0.7593,153.39,20.76,15.81,80.55
230,simplex,32,7.9788,8.0613,-0.0826,0.7581,153.31,20.61,15.94,80.67
230,simplex,33,7.9487,8.0317,-0.083,0.757,153.3,20.64,16.05,80.06
230,simplex,34,7.9097,7.9931,-0.0833,0.756,153.78,20.66,16.12,80.89
230,simplex,35,7.8906,7.9743,-0.0837,0.7551,154.01,20.48,16.02,80.84
230,simplex,36,7.8914,7.9754,-0.0839,0.7549,152.9,20.44,15.62,80.69
230,simplex,37,7.8722,7.9564,-0.0842,0.7542,153.64,20.48,15.89,80.76
230,simplex,38,7.8793,7.9635,-0.0842,0.754,153.49,20.37,15.74,81.13
230,simplex,39,7.8548,7.9393,-0.0845,0.7533,154.1,20.28,16.17,80.96
230,simplex,40,7.8631,7.9477,-0.0846,0.7531,169.42,20.74,16.06,80.75
230,simplex,41,7.8417,7.9265,-0.0848,0.7524,154.0,20.56,15.79,81.14
230,simplex,42,7.8523,7.9371,-0.0848,0.7523,153.98,20.41,16.04,81.1
230,simplex,43,7.8279,7.9129,-0.0851,0.7516,154.05,20.74,15.87,80.81
230,simplex,44,7.8394,7.9244,-0.0851,0.7515,152.9,20.16,15.56,81.12
230,simplex,45,7.8149,7.9003,-0.0853,0.7508,153.51,20.26,15.66,81.26
230,simplex,46,7.8293,7.9147,-0.0854,0.7507,153.96,20.56,16.19,80.84
230,simplex,47,7.8032,7.8888,-0.0856,0.75,153.42,20.55,15.89,81.0
230,simplex,48,7.8183,7.9039,-0.0856,0.75,153.31,20.51,16.07,80.47
230,simplex,49,7.7911,7.8769,-0.0858,0.7493,153.39,20.62,15.92,80.4
230,simplex,50,7.8083,7.8942,-0.0858,0.7492,169.7,20.39,16.04,81.01
230,simplex,51,7.7809,7.8669,-0.0861,0.7485,153.11,20.19,15.87,80.59
230,simplex,52,7.7991,7.8851,-0.0861,0.7484,154.43,20.79,16.32,80.6
